video_id,title,object_name,ra,dec,is_moving,url
M8qM4CGEHZM,"Once Around the Lost Asteroid Hermes","the Lost Asteroid Hermes",294.452833,-25.861611,true,https://www.youtube.com/watch?v=M8qM4CGEHZM
aBzksdM_pSM,"Once Around Polaris","Polaris",37.954561,89.264109,false,https://www.youtube.com/watch?v=aBzksdM_pSM
QnfXtX8bGSs,"Once Around Asteroid Bennu","Asteroid Bennu",329.351792,-12.596556,true,https://www.youtube.com/watch?v=QnfXtX8bGSs
9w5z5lpA_mY,"Once Around Sirius","Sirius",101.287155,-16.716116,false,https://www.youtube.com/watch?v=9w5z5lpA_mY
YUM9jF-Fnq4,"Betelgeuse, will it supernova tomorrow?","Betelgeuse",88.792917,7.406944,false,https://www.youtube.com/watch?v=YUM9jF-Fnq4
JmMujpRrHQI,"A new look at Barnard's Star","Barnard's Star",269.452083,4.693333,false,https://www.youtube.com/watch?v=JmMujpRrHQI
AEFBMr2ec6A,"Once Around K2 18b","K2 18b",172.560491,7.588404,false,https://www.youtube.com/watch?v=AEFBMr2ec6A
4YJ6XYVN2fg,"Once Around 40 Eridani","40 Eridani",63.817998,-7.652870,false,https://www.youtube.com/watch?v=4YJ6XYVN2fg
qYvoM_wJOf4,"Once Around Tau Ceti","Tau Ceti",26.017013,-15.937480,false,https://www.youtube.com/watch?v=qYvoM_wJOf4
FBggG5xPq6A,"Once Around Epsilon Eridani","Epsilon Eridani",53.232685,-9.458261,false,https://www.youtube.com/watch?v=FBggG5xPq6A
tE6AWxOdEjg,"The Blaze Star : T Coronae Borealis","T Coronae Borealis",239.875833,25.920278,false,https://www.youtube.com/watch?v=tE6AWxOdEjg
_S4dcf9C38o,"Galaxies and The Milky Way   I2A5   Brian Lister","Galactic Center",266.416667,-29.007778,false,https://www.youtube.com/watch?v=_S4dcf9C38o
J_ZwmBq5jeE,"I2APt5   Galaxies and the Milky Way","Galactic Center",266.416667,-29.007778,false,https://www.youtube.com/watch?v=J_ZwmBq5jeE
Xe5dTYbn5HA,"Once Around The Methuselah Star","The Methuselah Star",235.762905,-10.933499,false,https://www.youtube.com/watch?v=Xe5dTYbn5HA
Nj7uaBnCGU8,"Once Around the Fireworks Galaxy","the Fireworks Galaxy",308.718050,60.153678,false,https://www.youtube.com/watch?v=Nj7uaBnCGU8
2zvGO0n6NJw,"Once Around Barnards Star","Barnards Star",269.452077,4.693365,false,https://www.youtube.com/watch?v=2zvGO0n6NJw
xdWKXZezkYY,"Once Around Alpha Centauri","Alpha Centauri",219.902083,-60.833972,false,https://www.youtube.com/watch?v=xdWKXZezkYY
ILwDC9PQ3hw,"Once Around Cygnus X 1","Cygnus X 1",299.590316,35.201607,false,https://www.youtube.com/watch?v=ILwDC9PQ3hw
T2cpgbUgGXg,"Once around the Ice Giants","the Ice Giants",55.048792,19.360889,true,https://www.youtube.com/watch?v=T2cpgbUgGXg
JrqSGS9HHV4,"Once around Saturn","Saturn",357.842792,-3.352889,true,https://www.youtube.com/watch?v=JrqSGS9HHV4
udTPZx6tAyo,"Once around Jupiter","Jupiter",110.875000,22.321639,true,https://www.youtube.com/watch?v=udTPZx6tAyo
